Date,Supply Power,Load Power,Temperature,Holiday
20191006,31819.0,28030.0,27.823171578659004,2
20191007,36591.0,32889.0,28.033861123042897,0
20191008,37289.0,32938.0,27.388556358476695,0
20191009,37046.0,32345.0,26.747853492284932,0
20191010,32222.0,27817.0,26.676682090018627,2
20191011,31667.0,27177.0,26.625771762403435,2
20191012,31704.0,26962.0,26.79450600349862,2
20191013,31796.0,26364.0,26.58931391129833,2
20191014,35975.0,30884.0,25.854359367586916,0
20191015,35615.0,30530.0,24.892520411308148,0
20191016,34313.0,30329.0,24.2410428319273,0
20191017,34761.0,30179.0,24.91793239743673,0
20191018,34982.0,30172.0,24.202039305113072,0
20191019,31218.0,26430.0,23.92735617129493,2
20191020,29653.0,25233.0,24.01434426778467,2
20191021,33493.0,29219.0,23.89642661051458,0
20191022,33840.0,30037.0,24.56868071166014,0
20191023,34065.0,30286.0,24.957697617775,0
20191024,34172.0,30343.0,24.972652886873867,0
20191025,34251.0,30131.0,25.02067086351627,0
20191026,29599.0,26498.0,24.735922465010912,2
20191027,28487.0,25725.0,25.007146308019454,2
20191028,34260.0,30207.0,24.621583194203897,0
20191029,34240.0,29624.0,23.056812008991134,0
20191030,33380.0,29714.0,23.977667301961734,0
20191031,33719.0,30080.0,24.545616399823775,0
20191101,34261.0,30331.0,25.201988087621178,0
20191102,30083.0,26705.0,25.12826206156949,2
20191103,29165.0,25745.0,24.703299399757174,2
20191104,32647.0,29192.0,23.175151137167155,0
20191105,33016.0,29247.0,22.88217507122222,0
20191106,32766.0,29422.0,23.67889309054994,0
20191107,33353.0,29601.0,23.833544551970192,0
20191108,33641.0,28900.0,22.990139892744185,0
20191109,29609.0,25900.0,22.04176390742368,2
20191110,27748.0,24716.0,21.912663008047215,2
20191111,32227.0,28620.0,22.124142594781873,0
20191112,32897.0,29305.0,23.22445440129449,0
20191113,32660.0,29360.0,23.29301776654916,0
20191114,32776.0,28953.0,21.798370893540955,0
20191115,31914.0,28764.0,22.228657483359363,0
20191116,29275.0,26075.0,23.298042310149867,2
20191117,27956.0,25366.0,23.736410688688107,2
20191118,32343.0,29306.0,22.5725241887052,0
20191119,32080.0,28743.0,19.793408809102793,0
20191120,32282.0,28935.0,20.518425238883975,0
20191121,32516.0,29520.0,21.472220639132402,0
20191122,32470.0,29500.0,22.855582789185707,0
20191123,29491.0,26796.0,23.59875350178347,2
20191124,28774.0,25584.0,23.9656253809278,2
20191125,32309.0,29340.0,22.63459725675101,0
20191126,32597.0,29285.0,21.784308646123034,0
20191127,32877.0,29312.0,21.80436014740901,0
20191128,32028.0,28610.0,19.575237345735133,0
20191129,31864.0,28472.0,19.928773667677007,0
20191130,28859.0,25855.0,21.465039590803187,2
20191201,28261.0,24836.0,21.67216344606258,2
20191202,31398.0,27936.0,17.70623945137711,0
20191203,31307.0,28157.0,17.541393647893383,0
20191204,31527.0,28474.0,17.684036925524175,0
20191205,31728.0,28706.0,15.526186046713603,0
20191206,31977.0,28563.0,15.426657958347471,0
20191207,28725.0,25824.0,15.093006751179809,2
20191208,27706.0,24750.0,16.706240197559826,2
20191209,31412.0,28207.0,18.435984000619452,0
20191210,31602.0,28456.0,19.622328875380944,0
20191211,31599.0,28397.0,19.618176686646628,0
20191212,31420.0,28422.0,19.383549900632318,0
20191213,31524.0,28370.0,20.00034139693844,0
20191214,28711.0,25676.0,20.715426012528653,2
20191215,27529.0,24717.0,21.8634539403126,2
20191216,31890.0,28851.0,21.373141300154867,0
20191217,32423.0,29234.0,22.85793859809272,0
20191218,32339.0,29085.0,21.48802173691396,0
20191219,32059.0,28952.0,20.12057403713531,0
20191220,31727.0,28581.0,19.294970361561607,0
20191221,29167.0,26352.0,20.33899448699419,2
20191222,27862.0,25115.0,20.413362701127586,2
20191223,32117.0,28787.0,20.274855801720413,0
20191224,32280.0,28996.0,20.24087596223166,0
20191225,32571.0,28965.0,21.190104932249366,0
20191226,32218.0,28955.0,20.937361001298907,0
20191227,31073.0,27867.0,16.998043453888936,0
20191228,28502.0,25349.0,19.49819567516171,2
20191229,27888.0,24989.0,19.007729694457144,2
20191230,31134.0,27991.0,20.092232531572243,0
20191231,30472.0,27364.0,17.274019000625266,0
20200101,28125.0,25335.0,17.149301423135565,2
20200102,31303.0,28223.0,19.39808223092483,0
20200103,31676.0,28292.0,20.05062018486615,0
20200104,29219.0,25583.0,20.203355559180455,2
20200105,27456.0,24761.0,21.0485163594137,2
20200106,31653.0,28644.0,20.486423462479824,0
20200107,32248.0,29144.0,21.424883456352564,0
20200108,31779.0,28544.0,19.255344769133824,0
20200109,31861.0,28730.0,19.359837816576423,0
20200110,31774.0,28476.0,20.747507379716417,0
20200111,29193.0,25342.0,19.634412980202978,2
20200112,27933.0,24842.0,16.4571798403695,2
20200113,31804.0,28647.0,16.93899860934785,0
20200114,32213.0,28801.0,18.232188682940418,0
20200115,31817.0,28431.0,18.37482670671099,0
20200116,31719.0,28714.0,19.321926621737905,0
20200117,31585.0,28186.0,16.495287195633143,0
20200118,29228.0,26068.0,15.330327275124844,2
20200119,28656.0,25322.0,16.005442619986944,2
20200120,31153.0,27970.0,16.70618823388522,0
20200121,30776.0,27517.0,18.57865159035083,0
20200122,29635.0,25748.0,20.907501032270382,0
20200123,26875.0,23531.0,22.186233748584012,2
20200124,25026.0,21543.0,21.336000740800408,2
20200125,24573.0,21022.0,20.150292665702867,2
20200126,24702.0,21174.0,18.138694460382375,2
20200127,25414.0,21710.0,16.0283361171453,2
20200128,26470.0,22817.0,14.287636663822,2
20200129,27288.0,23984.0,13.06718888447092,2
20200130,29314.0,26323.0,12.311495060851504,0
20200131,30075.0,26714.0,12.821882615306787,0
20200201,29101.0,25211.0,14.714609762039276,2
20200202,28063.0,24816.0,17.313584433601147,2
20200203,32048.0,27960.0,17.686521059508497,0
20200204,31745.0,28443.0,17.417138330592337,0
20200205,32040.0,28397.0,17.085716827453748,0
20200206,31829.0,28482.0,19.085144119991565,0
20200207,32042.0,28275.0,17.258208447118548,0
20200208,29290.0,25630.0,16.624461471681474,2
20200209,28234.0,25150.0,15.89515384299692,2
20200210,31429.0,28283.0,17.47507872686306,0
20200211,31882.0,28663.0,19.048233647910504,0
20200212,31881.0,28533.0,21.631139709073146,0
20200213,32340.0,29094.0,22.48111247034612,0
20200214,32322.0,29199.0,22.242214870895406,0
20200215,30766.0,27770.0,23.744857372985482,0
20200216,29047.0,25062.0,16.679924718727342,2
20200217,32044.0,28300.0,12.592304660528765,0
20200218,32675.0,28426.0,14.58592525096357,0
20200219,31938.0,28374.0,17.35877451844762,0
20200220,31745.0,28613.0,18.17256833581011,0
20200221,31665.0,28527.0,19.388742231366425,0
20200222,29721.0,26047.0,19.386523353102895,2
20200223,28803.0,25064.0,20.027775214048933,2
20200224,31837.0,28827.0,21.89002798368649,0
20200225,32320.0,29196.0,23.098072236969525,0
20200226,32634.0,29467.0,23.15091687812078,0
20200227,32621.0,28368.0,20.844532361485403,0
20200228,29642.0,26356.0,21.749853310876897,2
20200229,28483.0,25677.0,23.022659721785164,2
20200301,28307.0,24986.0,22.110699116317832,2
20200302,31852.0,28557.0,19.31668211326038,0
20200303,32289.0,29183.0,21.23385038290488,0
20200304,32616.0,28858.0,19.792263816199785,0
20200305,32126.0,28608.0,16.542440230306237,0
20200306,31748.0,28569.0,20.074391975771327,0
20200307,29894.0,26182.0,22.47968317571447,2
20200308,28936.0,25557.0,23.454710183552997,2
20200309,32862.0,29653.0,23.995693852977418,0
20200310,32522.0,28591.0,19.86187632046052,0
20200311,31786.0,28531.0,19.06179727402331,0
20200312,32350.0,29348.0,21.513598953582726,0
20200313,32263.0,29165.0,21.460318553961518,0
20200314,29628.0,25802.0,17.42044129000801,2
20200315,28330.0,24837.0,18.37235012018129,2
20200316,32804.0,27984.0,20.13585895996932,0
20200317,32896.0,28753.0,21.198880254984086,0
20200318,33271.0,29118.0,21.361248101897736,0
20200319,32474.0,29389.0,21.65539205999211,0
20200320,32730.0,29030.0,22.623429727295296,0
20200321,29655.0,26635.0,24.187517910678626,2
